ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet
BP,GO:0015695,organic cation transport,5/24,120/18986,0.041666666666666664,32.96180555555555,12.495420148919832,3.5810978570897646e-7,2.342037998536706e-4,1.4475174496025997e-4,SLC1A1/SLC25A15/SLC25A20/SLC44A1/SLC6A3,5,all_25
BP,GO:0043603,amide metabolic process,7/24,472/18986,0.014830508474576272,11.732168079096047,8.399959376247365,1.3465863778381816e-6,3.181845023888862e-4,1.9665676632437198e-4,ALOXE3/ASL/GBA3/PLA2G4E/SLC1A1/SLC25A15/TECR,7,all_25
BP,GO:0006633,fatty acid biosynthetic process,5/24,165/18986,0.030303030303030304,23.972222222222225,10.543686491267174,1.7348523249011494e-6,3.181845023888862e-4,1.9665676632437198e-4,ALOX15/ALOXE3/APOC1/CYP2E1/TECR,5,all_25
BP,GO:0043604,amide biosynthetic process,5/24,175/18986,0.02857142857142857,22.60238095238095,10.213710726763075,2.317007815169739e-6,3.181845023888862e-4,1.9665676632437198e-4,ALOXE3/ASL/SLC1A1/SLC25A15/TECR,5,all_25
BP,GO:0046394,carboxylic acid biosynthetic process,6/24,331/18986,0.01812688821752266,14.33987915407855,8.710380280771734,2.7709736025480494e-6,3.181845023888862e-4,1.9665676632437198e-4,ALOX15/ALOXE3/APOC1/ASL/CYP2E1/TECR,6,all_25
BP,GO:0016053,organic acid biosynthetic process,6/24,334/18986,0.017964071856287425,14.211077844311376,8.665978995715667,2.9191238751273963e-6,3.181845023888862e-4,1.9665676632437198e-4,ALOX15/ALOXE3/APOC1/ASL/CYP2E1/TECR,6,all_25
BP,GO:0042759,long-chain fatty acid biosynthetic process,3/24,27/18986,0.1111111111111111,87.89814814814815,16.075094724496406,5.088686005627591e-6,4.7542866395434925e-4,2.9384292122721734e-4,ALOX15/ALOXE3/CYP2E1,3,all_25
BP,GO:0072330,monocarboxylic acid biosynthetic process,5/24,224/18986,0.022321428571428572,17.65811011904762,8.922345214187565,7.738557004087464e-6,6.326270350841502e-4,3.9100077494336666e-4,ALOX15/ALOXE3/APOC1/CYP2E1/TECR,5,all_25
BP,GO:0120254,olefinic compound metabolic process,4/24,163/18986,0.024539877300613498,19.413087934560327,8.399334143370847,4.8658027291383265e-5,0.0034215920403500278,0.002114745442611316,ALOX15/ALOXE3/CYP2E1/GRIN1,4,all_25
BP,GO:0019369,arachidonate metabolic process,3/24,58/18986,0.05172413793103448,40.918103448275865,10.831793774397946,5.231792110626953e-5,0.0034215920403500278,0.002114745442611316,ALOX15/ALOXE3/CYP2E1,3,all_25
BP,GO:0019372,lipoxygenase pathway,2/24,11/18986,0.18181818181818182,143.83333333333334,16.857915488186517,8.364451496460331e-5,0.004973046616986415,0.0030736357652064762,ALOX15/ALOXE3,2,all_25
BP,GO:0000050,urea cycle,2/24,12/18986,0.16666666666666666,131.8472222222222,16.130377552571023,1.0029591139233107e-4,0.005466127170882043,0.003378388594267994,ASL/SLC25A15,2,all_25
BP,GO:0006631,fatty acid metabolic process,5/24,405/18986,0.012345679012345678,9.766460905349794,6.3443352019608374,1.3105052244860672e-4,0.006449996640643801,0.003986477885091292,ALOX15/ALOXE3/APOC1/CYP2E1/TECR,5,all_25
BP,GO:0019627,urea metabolic process,2/24,14/18986,0.14285714285714285,113.01190476190476,14.915591917600953,1.38073322582589e-4,0.006449996640643801,0.003986477885091292,ASL/SLC25A15,2,all_25
BP,GO:0051290,protein heterotetramerization,2/24,16/18986,0.125,98.88541666666667,13.935198845572499,1.8179368650328884e-4,0.007430816935821931,0.004592682606398876,GRIN1/RRM2,2,all_25
BP,GO:0071941,nitrogen cycle metabolic process,2/24,16/18986,0.125,98.88541666666667,13.935198845572499,1.8179368650328884e-4,0.007430816935821931,0.004592682606398876,ASL/SLC25A15,2,all_25
BP,GO:0009410,response to xenobiotic stimulus,5/24,451/18986,0.011086474501108648,8.770325203252034,5.9415536293086575,2.1643871915636475e-4,0.008326524842838972,0.005146282857959386,CYP2E1/GRIN1/NAT2/SLC1A1/SLC6A3,5,all_25
BP,GO:0051262,protein tetramerization,3/24,99/18986,0.030303030303030304,23.972222222222225,8.15282211060766,2.570563846104159e-4,0.008896346788634107,0.005498466387953481,GRIN1/RRM2/TRPM7,3,all_25
BP,GO:0042402,cellular biogenic amine catabolic process,2/24,19/18986,0.10526315789473684,83.2719298245614,12.76432969911169,2.584565580795842e-4,0.008896346788634107,0.005498466387953481,SLC44A1/SLC6A3,2,all_25
BP,GO:0043651,linoleic acid metabolic process,2/24,20/18986,0.1,79.10833333333333,12.433498496417153,2.8695230491828456e-4,0.009383340370827905,0.005799457109927436,ALOX15/ALOXE3,2,all_25
BP,GO:0009310,amine catabolic process,2/24,21/18986,0.09523809523809523,75.34126984126983,12.12640445948695,3.169130339853878e-4,0.009869577344116363,0.006099980203027013,SLC44A1/SLC6A3,2,all_25
BP,GO:0001676,long-chain fatty acid metabolic process,3/24,109/18986,0.027522935779816515,21.772935779816518,7.737728549885133,3.4121628790875937e-4,0.0101434296496513,0.006269237060141801,ALOX15/ALOXE3/CYP2E1,3,all_25
BP,GO:0033559,unsaturated fatty acid metabolic process,3/24,114/18986,0.02631578947368421,20.81798245614035,7.550431151648402,3.8922202801461e-4,0.010987422205527004,0.0067908741782108,ALOX15/ALOXE3/CYP2E1,3,all_25
BP,GO:0035357,peroxisome proliferator activated receptor signaling pathway,2/24,24/18986,0.08333333333333333,65.9236111111111,11.322310687911598,4.1555075383792144e-4,0.010987422205527004,0.0067908741782108,ALOX15/ALOXE3,2,all_25
BP,GO:0018958,phenol-containing compound metabolic process,3/24,117/18986,0.02564102564102564,20.284188034188034,7.443697171409533,4.2000849409506893e-4,0.010987422205527004,0.0067908741782108,CYP2E1/SLC1A1/SLC6A3,3,all_25
BP,GO:0009308,amine metabolic process,3/24,121/18986,0.024793388429752067,19.613636363636363,7.307424823009314,4.6343669883112666e-4,0.0113541536952986,0.007017535842579532,SLC1A1/SLC44A1/SLC6A3,3,all_25
BP,GO:0006650,glycerophospholipid metabolic process,4/24,294/18986,0.013605442176870748,10.763038548752833,6.002050340175621,4.6874946448480464e-4,0.0113541536952986,0.007017535842579532,ALOX15/APOC1/PLA2G4E/SLC44A1,4,all_25
BP,GO:0006690,icosanoid metabolic process,3/24,124/18986,0.024193548387096774,19.139112903225804,7.209445560883179,4.978332232530874e-4,0.011627961714554255,0.0071867653281648715,ALOX15/ALOXE3/CYP2E1,3,all_25
BP,GO:0006805,xenobiotic metabolic process,3/24,127/18986,0.023622047244094488,18.687007874015748,7.114850023346246,5.338287786890973e-4,0.01203875935388516,0.007440662468842591,CYP2E1/GRIN1/NAT2,3,all_25
BP,GO:0046337,phosphatidylethanolamine metabolic process,2/24,29/18986,0.06896551724137931,54.55747126436782,10.268407797637808,6.089267563398668e-4,0.013274603288209097,0.00820448682226347,ALOX15/PLA2G4E,2,all_25
BP,GO:0006829,zinc ion transport,2/24,31/18986,0.06451612903225806,51.037634408602145,9.919381023325567,6.963406129346558e-4,0.014231461276852026,0.008795881426543022,SLC1A1/TRPM7,2,all_25
BP,GO:0051291,protein heterooligomerization,2/24,31/18986,0.06451612903225806,51.037634408602145,9.919381023325567,6.963406129346558e-4,0.014231461276852026,0.008795881426543022,GRIN1/RRM2,2,all_25
BP,GO:0046475,glycerophospholipid catabolic process,2/24,34/18986,0.058823529411764705,46.53431372549019,9.4540866966879,8.381589809728039e-4,0.016610787077461022,0.010266444934403726,APOC1/PLA2G4E,2,all_25
BP,GO:0016042,lipid catabolic process,4/24,351/18986,0.011396011396011397,9.015194681861349,5.392271932913131,9.105597760015467e-4,0.017514885103088573,0.01082523077351684,APOC1/GBA3/HSD11B1/PLA2G4E,4,all_25
