category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,3/15,79/9399,0.0379746835443038,23.79493670886076,8.134171606841631,2.4180353055117747e-4,0.017651657730235956,0.015271801929548051,50617/6505/6531,3,Rpost_18,
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,3/15,116/9399,0.02586206896551724,16.205172413793104,6.587877557237668,7.479678716598705e-4,0.027300827315585273,0.023620038052416963,2902/123745/6505,3,Rpost_18,
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,2/15,49/9399,0.04081632653061224,25.57551020408163,6.895474039299815,0.002677263852951596,0.06379486827562561,0.05519382979866671,2902/6531,2,Rpost_18,
NA,NA,hsa04082,Neuroactive ligand signaling,3/15,199/9399,0.01507537688442211,9.446231155778893,4.8146523965873484,0.0035250170975890155,0.06379486827562561,0.05519382979866671,2902/6505/6531,3,Rpost_18,
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,2/15,63/9399,0.031746031746031744,19.89206349206349,6.015041111588671,0.004389216854209374,0.06379486827562561,0.05519382979866671,59344/123745,2,Rpost_18,Araşidonik asit metabolizması
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,2/15,69/9399,0.028985507246376812,18.162318840579708,5.720434797742587,0.005243413830873338,0.06379486827562561,0.05519382979866671,2902/6531,2,Rpost_18,
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,2/15,99/9399,0.020202020202020204,12.65858585858586,4.66220481660729,0.01054708912880325,0.1099910723432339,0.09516170642529248,123745/23446,2,Rpost_18,Kanserde kolin metabolizması
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,2/15,168/9399,0.011904761904761904,7.45952380952381,3.377537029261048,0.028627850559777998,0.2297743225109631,0.19879537636132355,123745/54822,2,Rpost_18,Nekroptoz
Metabolism,Amino acid metabolism,hsa00220,Arginine biosynthesis,1/15,23/9399,0.043478260869565216,27.243478260869562,5.0378573274025324,0.03611033811924513,0.2297743225109631,0.19879537636132355,435,1,Rpost_18,Arjinin biyosentezi
Human Diseases,Substance dependence,hsa05034,Alcoholism,2/15,191/9399,0.010471204188481676,6.561256544502617,3.1043902335174174,0.03625759433725241,0.2297743225109631,0.19879537636132355,2902/6531,2,Rpost_18,
Metabolism,Lipid metabolism,hsa00592,alpha-Linolenic acid metabolism,1/15,26/9399,0.038461538461538464,24.1,4.715510276874163,0.040729609806771316,0.2297743225109631,0.19879537636132355,123745,1,Rpost_18,Alfa-linolenik asit metabolizması
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,1/15,28/9399,0.03571428571428571,22.378571428571426,4.529331192565668,0.04379763681741955,0.2297743225109631,0.19879537636132355,50617,1,Rpost_18,Toplayıcı kanal asit sekresyonu
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,1/15,30/9399,0.03333333333333333,20.886666666666667,4.361595162856255,0.04685650359076454,0.2297743225109631,0.19879537636132355,123745,1,Rpost_18,Linoleik asit metabolizması
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,2/15,238/9399,0.008403361344537815,5.265546218487395,2.6647780311471454,0.05398435503791329,0.2297743225109631,0.19879537636132355,2902/123745,2,Rpost_18,
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,1/15,36/9399,0.027777777777777776,17.405555555555555,3.9427934905175093,0.05597839617863731,0.2297743225109631,0.19879537636132355,5207,1,Rpost_18,Fruktoz ve mannoz metabolizması
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,1/15,36/9399,0.027777777777777776,17.405555555555555,3.9427934905175093,0.05597839617863731,0.2297743225109631,0.19879537636132355,57733,1,Rpost_18,Nişasta ve sükroz metabolizması
