category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,4/22,63/9399,0.06349206349206349,27.125541125541123,10.077487090871356,1.2247488453492473e-5,0.0010532840070003526,9.153386107347006e-4,246/59344/1571/123745,4,all_25,Araşidonik asit metabolizması
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,3/22,30/9399,0.1,42.722727272727276,11.08622783655095,4.338088809575472e-5,0.001865378188117453,0.0016210752919992555,246/1571/123745,3,all_25,Linoleik asit metabolizması
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,3/22,70/9399,0.04285714285714286,18.309740259740263,7.040753299434535,5.504689070294977e-4,0.015041626352338758,0.01307167039187334,1571/3290/10,3,all_25,Kimyasal karsinogenez - DNA eklentileri
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,3/22,79/9399,0.0379746835443038,16.223820483314157,6.581522137212575,7.844486855986626e-4,0.015041626352338758,0.01307167039187334,50617/6505/6531,3,all_25,
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,3/22,82/9399,0.036585365853658534,15.630266075388024,6.4449300151194295,8.745131600196952e-4,0.015041626352338758,0.01307167039187334,1571/10/6241,3,all_25,İlaç metabolizması - diğer enzimler
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,3/22,116/9399,0.02586206896551724,11.04898119122257,5.274775198271649,0.0023772129261024873,0.03407338527413565,0.029610897851452034,2902/123745/6505,3,all_25,
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,2/22,49/9399,0.04081632653061224,17.437847866419293,5.587715606033541,0.005754608150443274,0.0706994715625888,0.06144017724533421,2902/6531,2,all_25,
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,3/22,168/9399,0.017857142857142856,7.629058441558441,4.199322374097417,0.006729196704597937,0.07233886457442783,0.06286486395084916,246/123745/54822,3,all_25,Nekroptoz
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,2/22,66/9399,0.030303030303030304,12.946280991735536,4.7172746580974145,0.010247329710813189,0.08725280610710649,0.07582557201474371,1571/3290,2,all_25,Steroid hormon biyosentezi
NA,NA,hsa04082,Neuroactive ligand signaling,3/22,199/9399,0.01507537688442211,6.440612151667427,3.7573140324622107,0.010701900864145145,0.08725280610710649,0.07582557201474371,2902/6505/6531,3,all_25,
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,2/22,69/9399,0.028985507246376812,12.383399209486164,4.59677019600026,0.011160242641606644,0.08725280610710649,0.07582557201474371,2902/6531,2,all_25,
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,2/22,75/9399,0.02666666666666667,11.392727272727273,4.376794264412277,0.013089853808044088,0.0938106189576493,0.08152452810273074,435/8277,2,all_25,Amino asit biyosentezi
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,2/22,79/9399,0.02531645569620253,10.815880322209436,4.2435756325199945,0.014451588741869508,0.09560281783082905,0.08308200815163848,1571/3290,2,all_25,Ksenobiyotiklerin sitokrom P450 ile metabolizması
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,2/22,99/9399,0.020202020202020204,8.630853994490359,3.6969737745339666,0.022122355648593953,0.13589447041279143,0.11809678579324592,123745/23446,2,all_25,Kanserde kolin metabolizması
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,2/22,115/9399,0.017391304347826087,7.4300395256917,3.360408693642208,0.029228930248695984,0.16757920009252364,0.1456318629935028,246/123745,2,all_25,
Metabolism,Amino acid metabolism,hsa00220,Arginine biosynthesis,1/22,23/9399,0.043478260869565216,18.575098814229246,4.08742688241455,0.05253177028724165,0.2734707663345591,0.23765513353431703,435,1,all_25,Arjinin biyosentezi
