"metabolite","VIP","log2FC","p_value","neg_log10_p","vip_norm","fc_norm","p_norm","combined_score"
"2,6-Dichloro-4-nitroaniline",1.65450284150433,-5.9692,3.34489234251845e-06,5.47561785571457,0.957280279052459,0.911536993204551,1,2.86881727225701
"Trp",1.72833691209224,4.2656,1.45396581691305e-05,4.83744580372495,1,0.651385813545087,0.883452047092074,2.53483786063716
"Chloratranol",1.58574251508816,6.5485,0.0154614400657488,1.81075005870474,0.917496180283814,1,0.330693285473707,2.24818946575752
"Glabrone",1.4699450334339,3.9762,0.00195112562566137,2.70971476711236,0.850496811790275,0.607192486829045,0.494869225449033,1.95255852406835
"(9Z, 12Z)-Octadecadienoate",1.38288182573993,3.3757,0.00589147571864603,2.22977590789693,0.80012283257081,0.515492097426892,0.407219051192524,1.72283398119023
"b-Hydroxypropionate",1.58152690078218,1.4539,0.00714241457599587,2.14615494512029,0.915057064231569,0.222020309994655,0.391947539377768,1.52902491360399
"S-Adenosylmethionine",1.27369895661528,2.6685,0.0182080350964484,1.73973691817061,0.736950618657681,0.407497900282507,0.317724312399733,1.46217283133992
"Daidzein",0.638939660001753,6.3859,0.328018760420843,0.484101316915596,0.369684669424946,0.975169886233489,0.0884103547164762,1.43326491037491
"Hedysarimcoumestan A",1.43495151710609,-1.8426,0.0314134927304801,1.50288377359055,0.830249881875754,0.281377414675116,0.27446834552599,1.38609564207686
"Gangaleoidin",1.19768407333978,2.8469,0.0465352080104991,1.332218340468,0.692969099346447,0.434740780331374,0.243300094267471,1.37100997394529
"Thiamine monophosphate",1.38057958762511,-0.83968,0.0125746458514333,1.90050423743976,0.798790778560557,0.128224784301748,0.347084892978117,1.27410045584042
"Bestatin",1.3573481381709,-0.84569,0.012269510399834,1.91117276693011,0.785349273439841,0.129142551729404,0.349033262965116,1.26352508813436
"Bergapten",0.896944983142632,3.9073,0.20343798880265,0.691567946266424,0.518964200132041,0.596670993357257,0.126299527193023,1.24193472068232
"Florasulam",0.52076701997122,5.7178,0.442937292167396,0.353657753671632,0.301311055921848,0.873146522104299,0.0645877347526255,1.23904531277877
"4-Nitrophenyl phosphate",1.26740507899053,-0.62237,0.0196996310341201,1.7055419079169,0.733309038372771,0.095040085515767,0.311479353172341,1.13982847706088
"Octopine",1.25146350078511,-0.72594,0.0232870292390333,1.63288591152487,0.724085386378832,0.110855921203329,0.298210348960113,1.13315165654227
"Vincristine",0.977303499555964,2.549,0.14050232744093,0.852316481549786,0.565458906025959,0.389249446438116,0.155656677293554,1.11036502975763
"Apiopaeonoside",1.18951048828806,-0.97676,0.0506477688293942,1.29543968172374,0.688239937459935,0.149157822402077,0.236583289020393,1.0739810488824
"Homoeriodictyol",1.19604615064114,-0.72617,0.0352131544715453,1.45329506813569,0.692021412187082,0.110891043750477,0.265412069729989,1.06832452566755
"Naringenin",1.19724530154592,-0.57184,0.0396655596034303,1.40158641428925,0.692715229981748,0.0873238146140338,0.255968632439625,1.03600767703541
"L-Homocystine",1.29638454110554,-0.96248,0.201049918329846,0.696696098979396,0.750076291280618,0.146977170344354,0.127236070401132,1.0242895320261
"Oleandomycin",0.897345737898418,2.4542,0.24714321721896,0.607051304138262,0.519196073184675,0.374772848743987,0.110864439435765,1.00483336136443
"73FTA",1.13361872376151,-0.71454,0.0520105988041919,1.28390814611251,0.655901471426194,0.109115064518592,0.234477310130869,0.999493846075655
"Galacturonate 1-phosphate",1.3031768671947,0.47084,0.124512511250157,0.904787007653319,0.754006269308419,0.0719004352141712,0.165239253632181,0.991145958154771
"Glu-Glu",1.28815836554089,0.47047,0.130399962398878,0.884722533833868,0.745316701002181,0.0718439337252806,0.161574923076587,0.978735557804048
"4-Methylsulfinyl-3-butenyl glucosinolate",1.11982727429237,-0.62986,0.0689322821870319,1.16157734279078,0.647921864341116,0.0961838588989845,0.212136305600383,0.956242028840484
"Lucidenic acid F",1.05530719603686,-1.1254,0.116965831013656,0.93194098927531,0.610591134548735,0.171856150263419,0.170198325345641,0.952645610157795
"Loperamide",1.09730716112189,-0.74195,0.090150291542729,1.04503286444692,0.634891931917108,0.113300755898297,0.190852044825641,0.939044732641047
"Benzimidazole",1.07748266105762,-0.61679,0.0680815772504084,1.1669703914779,0.623421656691499,0.0941879819806062,0.213121226175418,0.930730864847523
"(2R)-2-Hydroxy-3-butenyl glucosinolate",0.972031954928298,1.0703,0.123151423359692,0.909560564306503,0.562408838304334,0.163442009620524,0.166111037744763,0.891961885669621
"Thifensulfuron-methyl",1.09656599650864,-0.74241,0.183203351954196,0.737066584587964,0.634463100820539,0.113371000992594,0.134608843058456,0.882442944871589
"Suffruticoside C",0.974857116203239,-0.97635,0.13173779914641,0.880289596295701,0.564043450893566,0.149095212644117,0.160765345480966,0.873904009018649
"Homocystine",1.01358350050467,-0.65406,0.100094178833312,0.999591179005023,0.586450184228071,0.0998793616858823,0.182553130138878,0.868882676052831
"Scopularide D",1.18208668896075,-0.57853,0.316274831081029,0.499935367545367,0.683944594766408,0.0883454226158662,0.0913020924248054,0.863592109807079
"Loganate",0.986477417939517,-0.68987,0.10382757026575,0.983687309065514,0.570766851669756,0.105347789570131,0.179648641484157,0.855763282724043
"Apigenin 7-O-glucuronide",1.05469929345791,0.54364,0.131072103854703,0.882489729599873,0.610239407651798,0.0830174849202107,0.161167150968885,0.854424043540894
"Chlorogenate",0.971272262553808,-0.72733,0.112951771517344,0.947106953285681,0.561969287213818,0.111068183553486,0.172968051869661,0.846005522636964
"Dimethyl lithospermate",0.965168335610993,0.84458,0.138708618151385,0.857896554793222,0.558437610663887,0.128973047262732,0.156675753750399,0.844086411677018
"Zearalanone",1.03704156060456,-0.53988,0.155327766345763,0.808750902977996,0.600022804204977,0.082443307627701,0.147700391862436,0.830166503695114
"Quercetin-3,4'-O-di-beta-glucopyranoside",0.962564580612483,-0.70517,0.126673075679734,0.897315684456045,0.556931101730187,0.10768420248912,0.163874782371741,0.828490086591048
"discorhabdin G",0.615338078906616,2.5234,0.362852630378105,0.440269724299248,0.356029009507016,0.385340154233794,0.0804054877277029,0.821774651468513
"Taxuspine F",0.682278502696055,2.1579,0.32299027317531,0.490810556213466,0.394760129186919,0.329525845613499,0.0896356482768857,0.813921623077304
"Cyanidin 3-(6''-acetyl)galactoside",1.1177578747071,-0.46186,0.2995126024535,0.523584899281796,0.646724528583953,0.070529128808124,0.0956211541927387,0.812874811584815
"Taxinine A",1.12032282290507,-0.45869,0.310963619331443,0.507290417557757,0.648208584256213,0.0700450484843857,0.0926453289701963,0.810898961710795
"Daminozide",1.20061916215304,0.20852,0.360435913783277,0.443171942496454,0.694667315008407,0.0318424066580133,0.0809355134295835,0.807445235096003
"Zeaxanthin",1.02121375681142,-0.49413,0.169327561119141,0.771272346865859,0.59086498105001,0.0754569748797435,0.140855765904286,0.80717772183404
"2-Amino-3-phosphonopropionate",0.948568089186566,-0.53439,0.12205665157945,0.913438548360375,0.54883285923592,0.0816049476979461,0.166819265410765,0.797257072344631
