"","A172_R_1","A172_R_2","A172_R_3","A172_R_4","A172_S_1","A172_S_2","A172_S_3","A172_S_4"
"(-)-Gallocatechin-3-O-gallate",0.717715557166732,-0.164155833119234,-0.552983889612606,-0.693193428468559,-0.392085441690233,0.374111005757129,0.336775891982124,0.373816137984649
"(2R)-2-Hydroxy-3-butenyl glucosinolate",-0.0750199378329899,0.512054889911908,0.925989199725784,0.761408164171491,-0.321539654800137,-1.62171963800328,-1.09400706263487,0.912834039462091
"(9Z, 12Z)-Octadecadienoate",-0.0551071562672041,0.56217371068967,0.971784646760527,1.0301030092882,-0.152730852269853,-0.929722231841328,-0.664516199307655,-0.761984927052355
"1,2-Disinapoyl diglucoside",-0.201752725656529,-0.0551880290054151,0.375162376000949,-0.317101301622567,-0.105878220321397,-0.0248843755207366,0.0155506833197518,0.314091592805943
"102FTA",-0.601757332531691,0.0263619864620931,0.151238497794719,0.348057886189712,0.0916953335679469,-0.350980940106536,0.0292813007168214,0.306103267906935
"10-Deacetyl-7-xylosylpaclitaxel",0.732580559910008,-0.412769930791403,-0.10483447529637,-0.488202994227482,-0.00763020471436442,-0.398454891035855,0.31246629718381,0.366845638971656
"13-Methylberberine",-0.0452724098894407,0.0227933081150153,-0.188639990036423,-0.0445719390191081,-0.04701510090956,-0.494120312866313,0.0696637711083055,0.727162673497522
"1-O-p-Coumaroylglycerol",0.100398446752027,0.184587369165479,-0.830230213720145,-0.189589587292749,0.00462523391536566,0.0972842977604316,0.238271824453001,0.394652628966591
"2',4,5'-Trihydroxychalcone",-0.158018075072861,-0.0954828999334355,0.0723986478662672,0.0147547031895916,-0.272395720447385,-0.0233830656646613,-0.0049408907711435,0.467067300833627
"2,6-Dichloro-4-nitroaniline",-0.69483854502009,-0.81198945503234,-0.993452308997078,-1.17795152696593,0.839948727521304,0.91837481485581,0.89627523359388,1.02363306004444
"2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid",-0.0273509030423467,0.334705421363397,-0.898201855802754,0.0601353306675125,-0.332443368668561,0.458666231598433,-0.0794276808797584,0.483916824764076
"2-Amino-3-phosphonopropionate",0.0921030405519143,-0.0145153942107181,-0.474125335885256,-0.436355727232175,0.43862275435644,-0.323176604381014,0.282801040380583,0.434646226420226
"4-Methylsulfinyl-3-butenyl glucosinolate",0.116136113992724,-0.186364371330322,-0.815101465800811,-0.123571943660865,-0.0421139857049784,0.366402356689178,0.210667472191518,0.473945823623558
"4-Nitrophenyl phosphate",-0.192582692331183,-0.203001657770433,-0.545910799565317,-0.0994583834731908,0.0732597922814977,0.23153562388805,0.0921217790501981,0.644036337920377
"62FTA",-0.159795320068406,-0.164707847420993,0.133714531835091,-0.595480467813283,-0.448078530295329,0.712833077118581,0.596540786729296,-0.0750262300849553
"73FTA",-0.25625982096506,-0.188809697504683,-0.286489886128305,-0.277946502437689,0.0988388746780656,-0.241300591069251,0.433964066902427,0.718003556524495
"7-epi-Paclitaxel",0.529238679333802,0.159757832641106,-0.291512683444616,-0.71633677243094,-0.47430555235834,0.532369685505337,0.189372797590242,0.0714160131634095
"Acetylendicarboxylate",0.421654911710664,0.0256861549637558,-0.125636746741343,-0.490499991476179,-0.207711257129637,0.323622764378644,-0.0469713077305034,0.0998554720245998
"Apigenin",-0.54850604077293,-0.0137953046020277,0.268369718280051,0.341956976276492,-0.0197412732419386,-0.317496124186264,0.0263582243609311,0.262853823885684
"Apigenin 7-O-glucuronide",0.0691985914116287,0.233481231727775,0.115569983386752,0.508250103568093,-0.346675612533745,-0.7431914846131,-0.275580612255617,0.438947799308215
"Apiopaeonoside",-0.51761913440836,-0.309208849412417,-0.627578804016261,0.205841125247699,0.0901125169559634,0.146830084879234,0.170022687798391,0.841600372955751
"Argininosuccinate",-0.0156945779095649,0.236229227095292,0.185874681723418,0.298075789471723,-0.211065662821254,-0.794160393775255,-0.152410773354749,0.45315170957039
"Baccatin I",0.499018174203435,-2.19792637293832,-0.0954388380532772,0.358752757505714,0.052286794237597,0.570254502757932,0.258067057636456,0.554985924650466
"Benzimidazole",0.0679025819823457,-0.145501673451382,-0.47319743512246,-0.397715514627163,0.440020029349271,-0.210060710377604,0.14352623410769,0.575026488139302
"Bergapten",-0.179731288836309,1.32059367471333,1.35387424920891,-0.84725193338673,-0.888740967204136,-0.0790062092578847,-0.357825925231107,-0.321911600006072
"Bestatin",-0.334573959213321,-0.221542669158103,-0.610418148735694,-0.075504659609817,0.219844827487363,0.229461592205698,0.0907355109552677,0.701997506068606
"b-Hydroxypropionate",0.527452193111537,0.486487903390137,0.321469381504378,0.413486046577953,-0.50092534292702,-0.99810867743839,-0.2592586581604,0.00939715394180518
"Blasticidin S",0.729685200558992,-0.0850186269978509,-0.444984673300189,-1.02499425417109,-0.240760529551017,0.342340509734035,0.328368656984264,0.39536371674286
"Brevifoliol",0.11833489429976,0.19729019266921,0.373771833563851,-0.32152007365212,-0.579061895945411,0.358167271477199,-0.189849375995962,0.0428671535834732
"Catechin-(4alpha->6)-gallocatechin",1.11931015022546,-0.243666576156403,-0.519538826840567,-0.39782030534588,-0.41734545904099,-0.13786730905088,0.275328375983984,0.32159995022528
"Chloratranol",0.663120693026066,1.05907523590793,1.04235541098245,1.15700274808954,-2.70356175490183,-0.417342498854579,-0.487588758865011,-0.313061075384568
"Chlorogenate",-0.27782277258251,-0.219899272813041,-0.224829723416366,-0.190498972946416,0.049762254238947,-0.310741098173133,0.319812852687286,0.854216733005233
"Cyanidin 3-(6''-acetyl)galactoside",0.68558842080523,-0.130976909950644,-0.528353949091052,-0.890746411450193,-0.304494446813006,0.399109527216236,0.336637520143779,0.433236249139651
"Cyanidin 3-(6''-p-coumarylsophoroside)-5-glucoside",0.775174381488088,-0.194284613355437,-0.647825608501041,-0.656908427965337,-0.305084737461398,0.373046933462062,0.294829090833028,0.361052981500037
"Cyclo(Pro-Phe)",0.4482400890357,0.0818952088427057,-0.622005162945903,-0.469333982219674,-0.469908912511234,0.794063194212294,-0.124395607391095,0.361445172977207
"Cytosine arabinoside",0.480823495474329,-0.702364159251525,-0.104131355227417,-0.479119193250978,-0.235037535570492,0.376130979554626,0.278622122192573,0.385075646078883
"Daidzein",-0.257719184205298,-0.232735488485713,2.32695242837083,-0.418210668004214,-0.587199876815053,-0.131795518801544,-0.43186087083665,-0.267430821222358
"D-Ala",0.0489763486292577,0.777104300505813,0.734721319395424,-0.419923699463766,-1.67192610904241,1.03937157654715,-1.51765798121939,1.00933424464792
"Daminozide",0.384639696863832,0.374485528183565,-0.0825393704606527,-0.267574469296378,-0.248965231609966,0.240758018548511,-0.320643318725187,-0.0801608535037252
"Daunorubicin",0.264240705207352,0.433371248490508,0.132868678151236,0.438329151897272,0.31829273792054,0.36682726630981,-2.49921588527859,0.545286097301866
"Diflunisal",0.328859443162008,-0.0157533603808929,0.00930293280700646,-0.501583811026151,-0.337273737398645,0.257845448512596,0.0357009334939982,0.22290215083008
"Dimethyl lithospermate",-0.0363632298586154,0.247175748592932,0.185979914119759,0.755847064464884,-0.367396669065615,-0.972900455988312,-0.270071048134398,0.457728675869367
"discorhabdin G",1.00609717951659,1.13428690542565,-1.71749573558152,1.22253780021829,0.880550306006685,-0.601316187797693,-0.956478115928975,-0.968182151859027
"Ethionamide",0.272000284440295,-0.0424108093150738,-0.255365260476933,-0.30823254712455,0.175378609626499,0.225517845656665,-0.192311889587721,0.125423766780818
"Florasulam",-0.449159095026579,-0.250392613896904,2.2640573741664,-0.447625605639935,-0.580572650471702,0.0914397951868635,-0.455179382370189,-0.172567821947957
"Fomesafen",0.470662351520272,-0.57242229592823,0.0122950496477194,-0.456932414231788,-0.439371155295238,0.537963083947077,0.284105386950361,0.163699993389828
"Galacturonate 1-phosphate",0.132016702409297,0.537223709469792,0.224923627895416,-0.0803709774887376,-0.670540053614734,0.23384704683351,-0.278511106158019,-0.0985889493465249
"Gancaonin M",-0.10913494466956,-0.0667892648602274,-0.0398441179793538,-0.606163836034525,0.239524313727082,-0.70999597228858,0.383183325655019,0.909220496450145
"Gangaleoidin",-0.0108194460196009,0.439186423079167,1.01135307383673,0.91257668655943,0.219882502026295,-0.446790039548007,-0.404049361254581,-1.72133983867943
"Geyerline",1.21666334979311,-1.57443689875079,1.19751298764057,-0.883427558710165,1.05508610580402,-0.0561106925597585,-0.430404671423532,-0.524882621793453
"Gibberellate",-0.199726404559441,-0.00157671002532962,-0.423639681875609,-0.389264939869048,0.286285220179338,-0.642784696591441,0.511270449847202,0.859436762894329
"Ginsenoside Ro",-0.118830739817298,-0.0525905486813247,0.353314543677387,-0.394447981394103,-0.127764451047423,0.0547525370401447,0.0729459516851153,0.212620688537502
"Glabrol",0.444660141068237,-0.564087808607747,0.00853436989775111,-0.421487870652989,-0.47264644623572,0.534720414986865,0.302296251387178,0.168010948156425
"Glabrone",0.141586679103615,0.723198373916905,0.990888063603539,0.991859370106939,-0.466032254499392,-1.11022355306153,-0.932186744135976,-0.339089935034102
"GlcNAcThrNAc",0.747983022251016,-0.183246241912742,-0.538678389313329,-0.676698504587931,-0.428339397705203,0.362106198939266,0.332224964662007,0.384648347666917
"Gluconapoleiferin",-0.0027028829703041,0.205504145427764,0.175043666994731,0.308935413281326,-0.290708177930359,-0.769042749888738,-0.12848493460398,0.50145551968956
"Glu-Glu",0.127045752607717,0.538360760936619,0.217043297043173,-0.0701628944006688,-0.676735846181904,0.253716874495038,-0.291974206301956,-0.0972937381980193
"Glutathione (oxidised form)",0.698691100422037,-0.319054757278852,-0.759598090571278,-0.488313777207662,0.0800484327549952,0.350127818812467,0.186349286825836,0.251749986242456
"Glycyrrhetinate",0.602979256791735,0.0831526151439542,-0.211675277664349,-0.721779014530618,-0.470686258239694,0.45570134196788,0.0745552339386026,0.187752102592488
"Glycyrrhizate",-0.237283636292626,0.0212519860153965,0.309700787856753,-0.236882340509854,-0.0959504694437308,-0.14825617718587,0.00173241173986607,0.385687437820065
"Hedysarimcoumestan A",-1.25571114586881,-0.0973484109504719,0.287734256920352,-1.02306952174131,0.361690575275621,0.680046879929461,0.528528212175609,0.518129154259549
"Herbacetin 8-O-xylose-3-O-glucose",-0.194661003882905,0.149673339911729,0.158090084431397,-0.111312016896131,0.0876945650769612,-0.411402048932495,-0.00946142493807878,0.331378505229524
"Homocystine",-0.116657295490854,0.175529929068239,-0.157338565671942,-0.911610297432414,-0.071769467803461,0.47559402102558,0.248498905540043,0.357752770764811
"Homoeriodictyol",-0.135541147729452,-0.197581248582757,-0.0928163395308125,-0.66945916054095,-0.181395283460961,0.442341669496781,0.417287022171893,0.417164488176259
"Isoliquiritin apioside",-0.209156375472082,0.0401800732729242,0.174866639674649,-0.168849744499376,-0.224252939108815,0.0269487703514839,-0.0345893763045598,0.394852952085775
"Kutkoside",0.805816311365484,-0.189337241821791,-0.553186341785647,-0.687436298316124,-0.408071700448552,0.386464365632934,0.264664936080201,0.381085969293493
"L-Cystine",0.0807456072197401,0.0539167106347931,0.0467130159864322,-0.388652701944167,-0.243617545793267,0.043663735662933,0.042036418226108,0.365194760007427
"L-Homocystine",-2.42241531322655,0.474686391259285,0.51411798823465,-0.544900007126572,0.455745015273838,0.43232184392213,0.477132465833135,0.613311615830087
"Loganate",-0.232111542521226,-0.205746669457545,-0.208167510473338,-0.257959432188346,-0.0182651174573837,-0.24330368388769,0.326389020715168,0.839164935270361
"Loperamide",0.497149557150676,-0.524913242674651,-0.770319009990226,-0.37180336491053,0.074629576883833,0.508806201649401,0.262981669217124,0.323468612674372
"L-Saccharopine",0.403302133813627,0.137425346105013,-0.667501970628144,-0.0434288507146697,-0.450732471001888,0.41285614459084,-0.186890926003387,0.394970593838607
"Lucidenic acid F",-1.02635251751433,0.0480561753914752,0.261801054059988,-0.608934426815587,-0.283042567268402,0.609491010623251,0.443546330843059,0.555434940680547
"Microcolin B",-0.177721654041667,0.556877210099245,0.730801228980849,0.583394876947133,0.600121373094608,-1.43718926337978,-1.80214429468078,0.945860522980398
"Morin",0.51128570478336,0.220515501030963,-0.855466663637015,0.0946298721826407,-0.514731638345284,0.666488090836013,-0.199888921048237,0.0771680541975595
"Naringenin",-0.0448033472526673,-0.147798375764043,-0.51382727408305,-0.247082758596764,-0.0636793445417979,0.306143190977693,0.0790277362951492,0.632020172965481
