"Category","Total_in_DB","Hits","Expected","FoldEnrichment","p_value","fdr"
"Secondary metabolite/Terpenoid",11,3,1.58653846153846,1.89090909090909,0.195068348034714,1
"Amino acid metabolism",14,3,2.01923076923077,1.48571428571429,0.325321156328639,1
"Xenobiotic/Drug metabolism",10,2,1.44230769230769,1.38666666666667,0.439889851448681,1
"Fatty acid/Lipid metabolism",11,2,1.58653846153846,1.26060606060606,0.494294629985118,1
"Cofactor/Vitamin/Antibiotic",6,1,0.865384615384615,1.15555555555556,0.617033055060547,1
"Natural product (marine/fungal)",6,1,0.865384615384615,1.15555555555556,0.617033055060547,1
"Carbohydrate metabolism",7,1,1.00961538461538,0.990476190476191,0.675650444592096,1
"Other/Unclassified",13,1,1.875,0.533333333333333,0.885065772206427,1
"Flavonoid biosynthesis",17,1,2.45192307692308,0.407843137254902,0.944827554129968,1
"Glucosinolate metabolism",2,0,0.288461538461538,0,1,1
"Terpenoid/ Taxane biosynthesis",7,0,1.00961538461538,0,1,1
