"name","class","p_value","log2FC","significant","hmdb_id"
"2,6-Dichloro-4-nitroaniline","Xenobiotic/Drug metabolism",3.34489234251845e-06,-5.9692,TRUE,NA
"Trp","Amino acid metabolism",1.45396581691305e-05,4.2656,TRUE,NA
"Glabrone","Secondary metabolite/Terpenoid",0.00195112562566137,3.9762,TRUE,NA
"(9Z, 12Z)-Octadecadienoate","Fatty acid/Lipid metabolism",0.00589147571864603,3.3757,TRUE,NA
"b-Hydroxypropionate","Fatty acid/Lipid metabolism",0.00714241457599587,1.4539,TRUE,NA
"Bestatin","Xenobiotic/Drug metabolism",0.012269510399834,-0.84569,TRUE,NA
"Thiamine monophosphate","Carbohydrate metabolism",0.0125746458514333,-0.83968,TRUE,NA
"Chloratranol","Natural product (marine/fungal)",0.0154614400657488,6.5485,TRUE,NA
"S-Adenosylmethionine","Cofactor/Vitamin/Antibiotic",0.0182080350964484,2.6685,TRUE,NA
"4-Nitrophenyl phosphate","Amino acid metabolism",0.0196996310341201,-0.62237,TRUE,NA
"Octopine","Amino acid metabolism",0.0232870292390333,-0.72594,TRUE,NA
"Hedysarimcoumestan A","Secondary metabolite/Terpenoid",0.0314134927304801,-1.8426,TRUE,NA
"Homoeriodictyol","Other/Unclassified",0.0352131544715453,-0.72617,TRUE,NA
"Naringenin","Flavonoid biosynthesis",0.0396655596034303,-0.57184,TRUE,NA
"Gangaleoidin","Secondary metabolite/Terpenoid",0.0465352080104991,2.8469,TRUE,NA
"Apiopaeonoside","Secondary metabolite/Terpenoid",0.0506477688293942,-0.97676,FALSE,NA
"73FTA","Other/Unclassified",0.0520105988041919,-0.71454,FALSE,NA
"Benzimidazole","Xenobiotic/Drug metabolism",0.0680815772504084,-0.61679,FALSE,NA
"4-Methylsulfinyl-3-butenyl glucosinolate","Glucosinolate metabolism",0.0689322821870319,-0.62986,FALSE,NA
"Loperamide","Xenobiotic/Drug metabolism",0.090150291542729,-0.74195,FALSE,NA
"Homocystine","Amino acid metabolism",0.100094178833312,-0.65406,FALSE,NA
"Loganate","Fatty acid/Lipid metabolism",0.10382757026575,-0.68987,FALSE,NA
"Chlorogenate","Fatty acid/Lipid metabolism",0.112951771517344,-0.72733,FALSE,NA
"Lucidenic acid F","Secondary metabolite/Terpenoid",0.116965831013656,-1.1254,FALSE,NA
"2-Amino-3-phosphonopropionate","Fatty acid/Lipid metabolism",0.12205665157945,-0.53439,FALSE,NA
"(2R)-2-Hydroxy-3-butenyl glucosinolate","Glucosinolate metabolism",0.123151423359692,1.0703,FALSE,NA
"Galacturonate 1-phosphate","Amino acid metabolism",0.124512511250157,0.47084,FALSE,NA
"Quercetin-3,4'-O-di-beta-glucopyranoside","Flavonoid biosynthesis",0.126673075679734,-0.70517,FALSE,NA
"Glu-Glu","Other/Unclassified",0.130399962398878,0.47047,FALSE,NA
"Apigenin 7-O-glucuronide","Flavonoid biosynthesis",0.131072103854703,0.54364,FALSE,NA
