ID,A172_R_1,A172_R_2,A172_R_3,A172_R_4,A172_S_1,A172_S_2,A172_S_3,A172_S_4
(-)-Gallocatechin-3-O-gallate,431300552.1,172196357.9,104650799.2,109467119.9,213912904.4,283164646.3,276091040.3,253037519.3
(2R)-2-Hydroxy-3-butenyl glucosinolate,23140.770547125,96918.6651643126,234037.217547562,200995.359027563,24961.3677763124,745.72148887501,2444.949818625,182133.149229937
"(9Z, 12Z)-Octadecadienoate",807745.468933124,2786495.64862032,5605427.58868087,7692679.07098425,1262445.91977993,166773.897403125,273359.475881062,201320.210542312
"1,2-Disinapoyl diglucoside",1072610.791554,1327316.60568862,1622822.69886263,1373331.6320535,2104292.32384669,1168421.31849506,1217730.75623194,1257475.77332381
102FTA,654043.582988437,1192730.93106375,1264501.24047694,1810167.91324294,2041119.3116955,779573.695480316,1054978.60876987,1137056.403249
10-Deacetyl-7-xylosylpaclitaxel,921670.388036246,330942.15156375,436337.12865375,366214.485721876,812242.793949374,290704.629322496,607708.61016375,563008.404583127
13-Methylberberine,88174.1704286252,106248.219251625,86879.7582048749,120321.148809375,163912.38411375,61207.9695121876,97301.9040648749,143263.74171375
1-O-p-Coumaroylglycerol,4282270.81613362,5260650.90117825,2109101.54082093,4542581.52050945,7336659.14541225,4222831.53216019,4864063.69102256,4884408.096255
"2',4,5'-Trihydroxychalcone",20967060.33181,24708612.6708682,25965904.9408836,31185415.6285623,36853401.9831055,22180981.3856504,22821128.0140659,25360941.4504562
"2,6-Dichloro-4-nitroaniline",55110.5898159375,48135.4980245624,30693.9906871873,24875.1515473126,3441362.76237394,2187374.96609081,2119789.30272244,2488008.5436975
"2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid",2436935950.0,4085636421.0,1067706621.0,3646648496.0,3282543616.0,4034272379.0,2324344952.0,3704179910.0
2-Amino-3-phosphonopropionate,1493253.95116031,1554989.95996313,1008981.16617188,1288828.23544875,3752245.87098074,1030601.87794612,1775311.19599519,1775535.37696763
4-Methylsulfinyl-3-butenyl glucosinolate,30075.421149375,25953.646310625,14003.1585787499,32850.2203649999,48352.0381612499,37496.876491875,33088.746125625,37030.3824975
4-Nitrophenyl phosphate,6747534.09690244,7641127.94635125,5589115.43206443,9924460.95932193,15582933.3723134,9410942.85585394,8567710.82587801,11755092.7556329
62FTA,1479543.2978625,1680889.81619625,2230715.12340375,1269129.28744312,2026488.4601869,3703190.55744375,3335496.837855,1431231.18481129
73FTA,220906.696295437,267790.893598312,237273.34716075,295556.68452075,562929.323635687,221337.837049313,409951.874505562,462148.502584312
7-epi-Paclitaxel,120317.704029937,93254.8980967499,56109.3224098128,44421.2205103124,78157.2070693129,119359.680341812,84902.6237617499,65786.9667866248
Acetylendicarboxylate,137708159.396587,120561810.471374,105211754.934391,101814732.566282,168017603.250945,127492046.095666,101341023.91031,98072971.1589167
Apigenin,23367251.5429655,38958362.3932487,45948871.9089904,59840898.4170629,63235099.9243221,27207965.3508783,35374959.1377223,36671597.7141219
Apigenin 7-O-glucuronide,181437.62194725,243468.65448,209481.439438687,380763.446518875,224547.180820125,80818.0023345001,130372.854019313,230542.520907188
Apiopaeonoside,38607.830912625,55328.9885026875,37783.8001064999,115795.588968,139331.398308001,78725.5558736251,82304.7485576251,150002.091845625
Argininosuccinate,294166.8803325,422064.8073225,389527.662821251,533073.702262501,458780.069330625,143700.516766875,261969.286141874,397586.032464375
Baccatin I,4156435808.0,15709724.32,1302210216.0,4211990161.0,3004368199.0,4778976341.0,2515185674.0,4136106376.0
Benzimidazole,2492378.70201525,2364630.24160275,1718175.69025331,2268104.71751513,6410738.17912537,1935618.39817819,2682817.38668869,3422859.37751269
