"metabolite","VIP"
"Trp",1.72833691209224
"2,6-Dichloro-4-nitroaniline",1.65450284150433
"Chloratranol",1.58574251508816
"b-Hydroxypropionate",1.58152690078218
"Glabrone",1.4699450334339
"Hedysarimcoumestan A",1.43495151710609
"(9Z, 12Z)-Octadecadienoate",1.38288182573993
"Thiamine monophosphate",1.38057958762511
"Bestatin",1.3573481381709
"Galacturonate 1-phosphate",1.3031768671947
"L-Homocystine",1.29638454110554
"Glu-Glu",1.28815836554089
"S-Adenosylmethionine",1.27369895661528
"4-Nitrophenyl phosphate",1.26740507899053
"Octopine",1.25146350078511
"Catechin-(4alpha->6)-gallocatechin",1.215229159115
"Daminozide",1.20061916215304
"Gangaleoidin",1.19768407333978
"Naringenin",1.19724530154592
"Homoeriodictyol",1.19604615064114
"N-Glycolylneuraminate",1.19297250026429
"Apiopaeonoside",1.18951048828806
"Scopularide D",1.18208668896075
"GlcNAcThrNAc",1.15414355390731
"Kutkoside",1.1522727193482
"(-)-Gallocatechin-3-O-gallate",1.14385167588156
"Quercetin-3-O-beta-galactoside",1.14069779105815
"73FTA",1.13361872376151
"Cyanidin 3-(6''-p-coumarylsophoroside)-5-glucoside",1.12540480367767
"Taxinine A",1.12032282290507
"4-Methylsulfinyl-3-butenyl glucosinolate",1.11982727429237
"Cyanidin 3-(6''-acetyl)galactoside",1.1177578747071
"Glycyrrhetinate",1.11586890778949
"Posthumulone",1.10903775491046
"Loperamide",1.09730716112189
"Thifensulfuron-methyl",1.09656599650864
"Benzimidazole",1.07748266105762
"Blasticidin S",1.07576483819691
"Diflunisal",1.07298378353665
"Lucidenic acid F",1.05530719603686
"Apigenin 7-O-glucuronide",1.05469929345791
"7-epi-Paclitaxel",1.03862051598188
"Zearalanone",1.03704156060456
"Acetylendicarboxylate",1.03570918538088
"Zeaxanthin",1.02121375681142
"L-Saccharopine",1.01980535257606
"Homocystine",1.01358350050467
"Ribostamycin",1.0077628058192
"Glutathione (oxidised form)",1.0037175877641
"Cyclo(Pro-Phe)",0.992811944292155
"Loganate",0.986477417939517
"Cytosine arabinoside",0.978317744821569
"Vincristine",0.977303499555964
"Suffruticoside C",0.974857116203239
"(2R)-2-Hydroxy-3-butenyl glucosinolate",0.972031954928298
"Chlorogenate",0.971272262553808
"Dimethyl lithospermate",0.965168335610993
"Quercetin-3,4'-O-di-beta-glucopyranoside",0.962564580612483
"trans-Cinnamate",0.95438001841347
"2-Amino-3-phosphonopropionate",0.948568089186566
"Brevifoliol",0.941335643774406
"1-O-p-Coumaroylglycerol",0.924732789582305
"L-Cystine",0.910834237452461
"Oleandomycin",0.897345737898418
"Bergapten",0.896944983142632
"Pinoresinol-4-O-glucoside",0.889221736437643
"Fomesafen",0.887348709948185
"Glabrol",0.886874006050874
"Morin",0.885137885702556
"D-Ala",0.856467397239218
"Gluconapoleiferin",0.855915901782171
"TRH",0.849923375126633
"Argininosuccinate",0.844540108286829
"Gibberellate",0.843617801655598
"102FTA",0.831131491599712
"10-Deacetyl-7-xylosylpaclitaxel",0.822938985218232
"Ethionamide",0.744239894699405
"Sanguinarine",0.740856647202479
"62FTA",0.739312264645713
"Apigenin",0.724065619841449
"2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid",0.696721878346878
"Microcolin B",0.693702604054094
"Scutellarein-7-glucuronide",0.683496123441093
"Taxuspine F",0.682278502696055
"Sorbitol 6-phosphate",0.681954591802114
"Gancaonin M",0.672059027846072
"Baccatin I",0.668755071915589
"Naringenin-7-O-neohesperidoside",0.65768565250907
"Daidzein",0.638939660001753
"discorhabdin G",0.615338078906616
"Purine",0.604701704719419
"Daunorubicin",0.549837605872989
"Florasulam",0.52076701997122
"Taxinine M",0.511636185706661
"2',4,5'-Trihydroxychalcone",0.449359741520185
"13-Methylberberine",0.442598730315205
"Ginsenoside Ro",0.404886284541382
"Isoliquiritin apioside",0.386741819401079
"1,2-Disinapoyl diglucoside",0.363631264689547
"Glycyrrhizate",0.268286994295741
"nPFOA",0.256741038380229
"Herbacetin 8-O-xylose-3-O-glucose",0.20219245313072
"Geyerline",0.0789525318050033
"Pelargonidin 3-O-rutinoside",0.0523703816063343
