"metabolite","t_score","p_value","fdr_p","neg_log10_p","significant","log2FC"
"(-)-Gallocatechin-3-O-gallate",-0.938096942244823,0.384403667096769,0.624655959032249,0.415212477943412,FALSE,-0.34457
"(2R)-2-Hydroxy-3-butenyl glucosinolate",1.79293481000518,0.123151423359692,0.441959068104087,0.909560564306503,FALSE,1.0703
"(9Z, 12Z)-Octadecadienoate",4.16802577121097,0.00589147571864603,0.148562223180714,2.22977590789693,FALSE,3.3757
"1,2-Disinapoyl diglucoside",-0.561769543841704,0.59461943845824,0.782790146831101,0.225760897557651,FALSE,-0.068755
"102FTA",-0.154260186597231,0.882462596892695,0.946145464709694,0.0543036930872824,FALSE,-0.01584
"10-Deacetyl-7-xylosylpaclitaxel",-0.413459183322743,0.693641256410515,0.828184984742971,0.158865083786499,FALSE,-0.071083
"13-Methylberberine",-0.499078142676939,0.635491858100392,0.796278954728202,0.196890009240143,FALSE,-0.23074
"1-O-p-Coumaroylglycerol",-1.49851942273787,0.184652876239523,0.492407669972062,0.733643923186438,FALSE,-0.3936
"2',4,5'-Trihydroxychalcone",-0.510425166771366,0.627982641798172,0.796278954728202,0.202052360523084,FALSE,-0.072049
"2,6-Dichloro-4-nitroaniline",-16.3404281559055,3.34489234251845e-06,0.000347868803621918,5.47561785571457,TRUE,-5.9692
"2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid",-0.79298869965793,0.457985625066951,0.67085218319666,0.339148153114198,FALSE,-0.35385
"2-Amino-3-phosphonopropionate",-1.79938310996501,0.12205665157945,0.441959068104087,0.913438548360375,FALSE,-0.53439
"4-Methylsulfinyl-3-butenyl glucosinolate",-2.21221976187101,0.0689322821870319,0.377313544602701,1.16157734279078,FALSE,-0.62986
"4-Nitrophenyl phosphate",-3.15459208500114,0.0196996310341201,0.204876162754849,1.7055419079169,FALSE,-0.62237
"62FTA",-1.2502924599131,0.257744220785704,0.558445811702359,0.588811063809787,FALSE,-0.72552
"73FTA",-2.41791327995542,0.0520105988041919,0.318182486802115,1.28390814611251,FALSE,-0.71454
"7-epi-Paclitaxel",-0.466378946979036,0.657396249155823,0.804343646025948,0.182172778160655,FALSE,-0.17118
"Acetylendicarboxylate",-0.383681173467521,0.714442340719677,0.832721527484527,0.146032815323287,FALSE,-0.059478
"Apigenin",0.102403325878761,0.921773237998212,0.978208334202184,0.0353759049752434,FALSE,0.050688
"Apigenin 7-O-glucuronide",1.74789227311521,0.131072103854703,0.441959068104087,0.882489729599873,FALSE,0.54364
"Apiopaeonoside",-2.43743734320622,0.0506477688293942,0.318182486802115,1.29543968172374,FALSE,-0.97676
"Argininosuccinate",1.33524035763048,0.230221486542587,0.532067435565091,0.637854146164897,FALSE,0.35386
"Baccatin I",-1.12446972163867,0.303777168112017,0.59849036989066,0.517444870814204,FALSE,-0.69079
"Benzimidazole",-2.22124066345828,0.0680815772504084,0.377313544602701,1.1669703914779,FALSE,-0.61679
"Bergapten",1.42716534536701,0.20343798880265,0.516037825255503,0.691567946266424,FALSE,3.9073
"Bestatin",-3.53658428388693,0.012269510399834,0.186823309792723,1.91117276693011,FALSE,-0.84569
"b-Hydroxypropionate",3.99711516098668,0.00714241457599587,0.148562223180714,2.14615494512029,FALSE,1.4539
"Blasticidin S",-1.04061540329006,0.338158238513491,0.60298440380905,0.470880027439101,FALSE,-0.35346
"Brevifoliol",0.745857762007457,0.483938766228738,0.68560202043341,0.315209587056742,FALSE,0.18345
"Catechin-(4alpha->6)-gallocatechin",-0.0497182864759326,0.961960646952732,0.988702928924197,0.0168426942416629,FALSE,0.45915
"Chloratranol",3.34780124911066,0.0154614400657488,0.200998720854735,1.81075005870474,FALSE,6.5485
"Chlorogenate",-1.85533511253322,0.112951771517344,0.441959068104087,0.947106953285681,FALSE,-0.72733
"Cyanidin 3-(6''-acetyl)galactoside",-1.13541441632429,0.2995126024535,0.59849036989066,0.523584899281796,FALSE,-0.46186
"Cyanidin 3-(6''-p-coumarylsophoroside)-5-glucoside",-0.968027690067392,0.370415193468237,0.611479049534867,0.431311207994183,FALSE,-0.30035
"Cyclo(Pro-Phe)",-0.755632569504645,0.478474130635931,0.68560202043341,0.320141537982803,FALSE,-0.51515
"Cytosine arabinoside",-1.35156215181972,0.225244395326854,0.532067435565091,0.647346006603741,FALSE,-0.48052
