gene,gene_class,found_in_tcga,mean_expression,median_expression,sd_expression,min_expression,max_expression,n_samples,n_patients
SLC25A20,Other,TRUE,5.183,5.287,0.743,2.059,7.401,283,283
TPCN1,Depleted,TRUE,4.462,4.591,0.828,1.542,6.547,283,283
ARSD,Enriched,TRUE,3.833,3.988,0.819,0.698,5.893,283,283
RRM2,Enriched,TRUE,3.741,3.84,1.095,0.114,7.063,283,283
SLC1A1,Enriched,TRUE,3.347,3.228,1.225,0.724,7.212,283,283
ASL,Depleted,TRUE,3.233,3.242,0.504,1.484,4.412,283,283
GRIN1,Enriched,TRUE,1.342,1.044,1.255,0,6.317,283,283
NAT2,Other,TRUE,0.844,0.625,0.69,0,3.436,283,283
ATP6V0A4,Depleted,TRUE,0.404,0.137,0.65,0,4.311,283,283
GBA3,Depleted,TRUE,0.213,0.074,0.494,0,4.863,283,283
ALOX15,Other,TRUE,0.205,0.088,0.341,0,2.104,283,283
PLA2G4E,Enriched,TRUE,0.027,0.014,0.064,0,0.849,283,283
