gene,gene_class,cutoff_method,cutoff_value,n_patients,n_events,high_group_n,low_group_n,median_OS_high_months,median_OS_low_months,logrank_p,cox_HR,cox_CI_lower,cox_CI_upper,cox_p,adjusted_p,PH_assumption_p,interpretation
ARSD,Enriched,Median,3.988,283,228,141,142,13.8,14.7,0.04778642739197503,1.304,1.002,1.698,0.048625707124751935,0.4459798988357244,0.41530756250405687,Significant association with worse survival
TPCN1,Depleted,Median,4.591,283,228,141,142,12.9,14.7,0.11813090076639687,1.231,0.948,1.598,0.11928378369352094,0.4459798988357244,0.488688995767225,No significant association
ASL,Depleted,Median,3.242,283,228,141,142,13.3,14.9,0.1266603957343897,1.226,0.944,1.592,0.1271886384261729,0.4459798988357244,0.3099243656158516,No significant association
SLC25A20,Other,Median,5.287,283,228,141,142,14,14.7,0.1486599662785748,1.215,0.932,1.585,0.14927969825837895,0.4459798988357244,0.26471743575446205,No significant association
RRM2,Enriched,Median,3.84,283,228,141,142,14.2,14,0.21512882174294568,1.184,0.907,1.544,0.21419453651786965,0.47998437058444465,0.04231433363681064,No significant association [PH assumption violated — interpret with caution]
ALOX15,Other,Median,0.088,283,228,141,142,14.7,13.3,0.23999218529222233,0.854,0.657,1.112,0.24129249126926847,0.47998437058444465,0.781772342266566,No significant association
SLC1A1,Enriched,Median,3.228,283,228,141,142,14.6,13.8,0.28671309938831535,0.868,0.669,1.127,0.2880734354010307,0.49150817037996913,0.982872658090396,No significant association
GBA3,Depleted,Median,0.074,283,228,141,142,14,14,0.5598169503256025,1.081,0.831,1.406,0.5599547180334425,0.8397254254884038,0.19807269559821242,No significant association
ATP6V0A4,Depleted,Median,0.137,283,228,141,142,14,14,0.7030824508488484,0.951,0.732,1.234,0.7043237117374715,0.9032390584914046,0.14498651343372332,No significant association
NAT2,Other,Median,0.625,283,228,141,142,14.9,12.9,0.7648857577017997,0.96,0.736,1.254,0.7662055970359161,0.9032390584914046,0.06384451656702894,No significant association
PLA2G4E,Enriched,Median,0.014,283,228,141,142,14,14,0.8317320603216796,1.029,0.789,1.341,0.8340785644782543,0.9032390584914046,0.9763551076992184,No significant association
GRIN1,Enriched,Median,1.044,283,228,141,142,13.6,14.7,0.9032390584914046,1.016,0.782,1.32,0.9070376029849746,0.9032390584914046,0.053611474260014724,No significant association
