gene,gene_class,primary_logrank_p,primary_adj_p,cont_HR_per_log2,cont_HR_per_SD,cont_CI_SD_lower,cont_CI_SD_upper,cont_p,cont_adj_p,mv_HR_group,mv_CI_lower,mv_CI_upper,mv_p,mv_n,mv_covariates,cutpoint_value,cutpoint_high_n,cutpoint_low_n,cutpoint_logrank_p_EXPLORATORY
ARSD,Enriched,0.04778642739197503,0.4459798988357244,1.361,1.287,1.128,1.469,1.7860911548894323e-4,0.002143309385867319,1.246,0.957,1.623,0.10182766803954363,283,age + sex,3.2,232,51,2.6757074872096887e-5
SLC25A20,Other,0.1486599662785748,0.4459798988357244,1.382,1.272,1.114,1.452,3.8457195459137524e-4,0.0023074317275482512,1.011,0.771,1.327,0.9348798461349754,283,age + sex,4.633,234,49,4.818334407352687e-6
ASL,Depleted,0.1266603957343897,0.4459798988357244,1.226,1.108,0.979,1.255,0.10492034433854645,0.32042355408770973,1.078,0.827,1.404,0.5786685636087856,283,age + sex,2.691,243,40,0.015390918851487467
RRM2,Enriched,0.21512882174294568,0.47998437058444465,1.106,1.116,0.977,1.276,0.1068078513625699,0.32042355408770973,1.106,0.847,1.445,0.45899901402238835,283,age + sex,3.572,171,112,0.03966921806080881
TPCN1,Depleted,0.11813090076639687,0.4459798988357244,1.111,1.091,0.965,1.235,0.16546871968712665,0.3971249272491039,1.259,0.969,1.635,0.08476440094040158,283,age + sex,3.425,249,34,0.05104804190344958
GRIN1,Enriched,0.9032390584914046,0.9032390584914046,1.071,1.089,0.947,1.254,0.23238735459782173,0.46477470919564345,0.989,0.76,1.287,0.9337158284440751,283,age + sex,3.002,36,247,0.020309633399761662
NAT2,Other,0.7648857577017997,0.9032390584914046,0.923,0.946,0.831,1.078,0.40581810979684935,0.6956881882231702,0.878,0.671,1.149,0.3446177800861356,283,age + sex,1.672,34,249,0.3108379683526937
SLC1A1,Enriched,0.28671309938831535,0.49150817037996913,0.966,0.959,0.841,1.094,0.5322592181847657,0.6991144069638052,0.977,0.751,1.272,0.8647955881346989,283,age + sex,2.71,194,89,0.09158143481645376
GBA3,Depleted,0.5598169503256025,0.8397254254884038,1.085,1.041,0.916,1.184,0.538747741162302,0.6991144069638052,0.967,0.741,1.261,0.8027377075490435,283,age + sex,0.009,232,51,0.12094665086574652
ALOX15,Other,0.23999218529222233,0.47998437058444465,0.899,0.964,0.847,1.098,0.5825953391365044,0.6991144069638052,0.949,0.728,1.237,0.6994057730017962,283,age + sex,0.085,147,136,0.11913175740763049
PLA2G4E,Enriched,0.8317320603216796,0.9032390584914046,1.418,1.022,0.898,1.165,0.7379411125805692,0.7427646335957858,0.957,0.733,1.249,0.7453735493468695,283,age + sex,0.008,174,109,0.16299927514551005
ATP6V0A4,Depleted,0.7030824508488484,0.9032390584914046,0.967,0.979,0.86,1.113,0.7427646335957858,0.7427646335957858,1.102,0.846,1.436,0.47198448995937997,283,age + sex,0.2,107,176,0.17871251848147696
